EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,MAGNITUDE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,BEGIN_LAT,BEGIN_LON
5591528,SOUTH DAKOTA,46,1997,January,Blizzard,1,0,0,0,.02M,,,,,,,,
5587112,NORTH DAKOTA,38,1997,January,Blizzard,1,0,0,0,.25M,,,,,,,,
5587103,NORTH DAKOTA,38,1997,January,Blizzard,1,0,0,0,.25M,,,,,,,,
5588192,ALABAMA,1,1997,January,Tornado,1,0,0,0,85K,2K,,,F2,2,75,33.3,-87.7
5587105,NORTH DAKOTA,38,1997,January,Blizzard,1,0,0,0,.25M,,,,,,,,
5588096,LOUISIANA,22,1997,January,Tornado,1,0,0,0,.16M,,,,F1,4,10,29.73,-90.13
5587348,NORTH DAKOTA,38,1997,January,Blizzard,1,0,0,0,1.53M,,,,,,,,
5587349,NORTH DAKOTA,38,1997,January,Blizzard,1,0,0,0,1.53M,,,,,,,,
5615581,FLORIDA,12,1997,June,Lightning,1,0,0,0,2K,0,,,,,,,
5597757,NORTH DAKOTA,38,1997,June,Lightning,1,0,0,0,,,,,,,,,
5603502,MINNESOTA,27,1997,June,Tornado,1,0,0,0,250K,,,,F2,11,150,48.8,-96.03
5608329,TEXAS,48,1997,June,Lightning,1,0,0,0,,,,,,,,,
5587104,NORTH DAKOTA,38,1997,January,Blizzard,1,0,0,0,.25M,,,,,,,,
5588906,FLORIDA,12,1997,January,Tornado,1,0,0,0,50K,.5K,,,F2,0.5,150,30.55,-85.35
5601579,MISSOURI,29,1997,June,Lightning,1,0,0,0,,,,,,,,,
5589727,TENNESSEE,47,1997,January,Tornado,1,0,0,0,5K,,,,F2,2,220,36.08,-86.03
5602439,WISCONSIN,55,1997,June,Lightning,1,0,0,0,,,,,,,,,
5587355,NORTH DAKOTA,38,1997,January,Blizzard,1,0,0,0,.9M,,,,,,,,
5627071,FLORIDA,12,1997,June,Tornado,1,0,0,0,1M,,,,F1,1,50,26.07,-80.22
5624866,MAINE,23,1997,June,Lightning,1,0,0,0,,,,,,,,,
5607324,COLORADO,8,1997,June,Lightning,1,0,0,0,,0,,,,,,,
5584613,TEXAS,48,1997,January,Lightning,1,0,0,0,,,,,,,,,
5587357,NORTH DAKOTA,38,1997,January,Blizzard,1,0,0,0,.9M,,,,,,,,
5606105,VIRGINIA,51,1997,June,Lightning,1,0,0,0,,,,,,,,,
5609045,TEXAS,48,1997,June,Tornado,1,0,0,0,80K,,,,F1,0.2,30,27.8,-97.8
5604970,WEST VIRGINIA,54,1997,June,Lightning,1,0,0,0,,,,,,,,,
5607314,COLORADO,8,1997,June,Lightning,1,0,0,0,,,,,,,,,
5607396,COLORADO,8,1997,June,Lightning,1,0,1,0,,0,,,,,,,
5603309,NORTH CAROLINA,37,1997,June,Lightning,1,0,0,0,,,,,,,,,
5603465,COLORADO,8,1997,June,Lightning,1,0,0,0,,,,,,,,,
5605530,ALABAMA,1,1997,June,Tornado,1,0,0,0,.1M,5K,,,F1,3,50,34.7,-87.55
5604745,VIRGINIA,51,1997,June,Lightning,1,0,0,0,40K,,,,,,,,
5608531,KENTUCKY,21,1997,June,Lightning,1,0,0,0,0,0,,,,,,,
5587367,NORTH DAKOTA,38,1997,January,Blizzard,1,0,0,0,.79M,,,,,,,,
5587365,NORTH DAKOTA,38,1997,January,Blizzard,1,0,0,0,.79M,,,,,,,,
5616475,ALABAMA,1,1997,October,Lightning,1,0,0,0,0K,0K,,,,,,,
5620662,FLORIDA,12,1997,October,Lightning,1,0,0,0,0,0,,,,,,,
5617791,MISSISSIPPI,28,1997,October,Lightning,1,0,0,0,,,,,,,,,
5617800,GEORGIA,13,1997,October,Tornado,1,0,0,0,200K,,,,F2,6,30,31.53,-82.43
5627053,ALABAMA,1,1997,December,Tornado,1,0,0,0,250K,,,,F1,1,100,31.05,-85.85
5622325,FLORIDA,12,1997,October,Tornado,1,0,0,0,350K,,,,F1,1,150,30.18,-85.8
5620543,FLORIDA,12,1997,October,Lightning,1,0,0,0,0,0,,,,,,,
5626408,NEBRASKA,31,1997,December,Blizzard,1,0,0,0,3K,0,,,,,,,
